-10,0.00990099,
-9.69697,-0.187186,
-9.39394,0.011205,
-9.09091,0.0449694,
-8.78788,0.0127833,
-8.18182,0.000232537,
-7.57576,0.0171256,
-7.17172,0.019784,
-6.76768,0.0213669,
-6.56566,0.0226212,
-6.36364,0.0240988,
-6.16162,0.0256895,
-5.9596,0.0273847,
-5.85859,0.0282995,
-5.75758,0.0292829,
-4.74747,0.0447225,
-3.73737,0.0668094,
-3.23232,0.0865034,
-2.72727,0.118511,
-2.52525,0.135713,
-2.32323,0.156313,
-2.0202,0.196349,
-1.71717,0.253249,
-1.0101,0.497924,
-0.30303,0.915896,
0.909091,1.23585,
2.12121,0.181833,
2.92929,-0.111826,
3.73737,0.0668094,
3.93939,0.0725921,
4.14141,0.0550924,
4.54545,0.00931132,
4.94949,0.0392195,
5.25253,0.075792,
5.55556,0.0313832,
5.75758,-0.0206301,
5.9596,0.0273847,
6.26263,0.530124,
6.56566,0.0226717,
