a;b;c;d
2.26176;0;-52.4752;98.1628
-1.17018;8.22457;-42.506;38.5845
1.29218;4.67856;-29.4725;2.83468
-0.206576;5.4617;-27.424;-2.91777
-0.171732;3.70893;-1.48687;-41.4651
-0.207927;3.39669;2.81957;-41.0421
-0.10977;0.62434;20.6908;20.3303
-0.452095;0.0255926;21.8725;59.3542
0.269146;-3.26237;14.0258;106.088
