x,y
-9.79798,98.1628
-9.49495,82.3242
-9.19192,66.8632
-8.88889,52.1574
-8.58586,38.5845
-8.33333,28.3563
-8.08081,19.0639
-7.82828,10.5944
-7.57576,2.83468
-7.52525,1.35827
-7.47475,-0.0932746
-7.42424,-1.51895
-7.37374,-2.91777
-6.66667,-19.6509
-5.9596,-31.3611
-5.25253,-38.4864
-4.54545,-41.4651
-4.39394,-41.6058
-4.24242,-41.5798
-4.09091,-41.3907
-3.93939,-41.0421
-2.82828,-34.001
-1.71717,-20.2844
-0.606061,-1.60348
0.505051,20.3303
0.959596,29.8539
1.41414,39.5737
1.86869,49.4277
2.32323,59.3542
2.92929,72.519
3.53535,85.0988
4.14141,96.4897
4.74747,106.088
5.75758,117.204
6.76768,123.327
7.77778,126.122
8.78788,127.252
